2010-04-11 06:08:54 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/home/ronald/work/cake_multi_acl_13/cake/libs/debugger.php, line 684]
2010-04-11 06:08:54 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/home/ronald/work/cake_multi_acl_13/cake/libs/debugger.php, line 688]
2010-04-11 12:34:08 Notice: Notice (8): Undefined property: GroupsController::$Session in [/home/ronald/work/cake_multi_acl_13/app/controllers/groups_controller.php, line 23]
2010-04-11 15:23:23 Notice: Notice (8): Undefined index:  group_id in [/home/ronald/work/cake_multi_acl_13/app/models/user.php, line 95]
2010-04-11 15:25:46 Notice: Notice (8): Undefined index:  GroupsUser in [/home/ronald/work/cake_multi_acl_13/app/models/user.php, line 95]
2010-04-11 15:26:44 Notice: Notice (8): Undefined index:  id in [/home/ronald/work/cake_multi_acl_13/app/models/user.php, line 95]
2010-04-11 15:27:46 Notice: Notice (8): Undefined index:  id in [/home/ronald/work/cake_multi_acl_13/app/models/user.php, line 96]
2010-04-11 15:28:36 Notice: Notice (8): Uninitialized string offset: 0 in [/home/ronald/work/cake_multi_acl_13/app/models/user.php, line 96]
2010-04-11 15:29:01 Notice: Notice (8): Undefined index:  id in [/home/ronald/work/cake_multi_acl_13/app/models/user.php, line 96]
2010-04-11 16:05:15 Notice: Notice (8): Undefined index:  id in [/home/ronald/work/cake_multi_acl_13/app/models/user.php, line 106]
2010-04-11 20:12:35 Notice: Notice (8): Undefined property: View::$Session in [/home/ronald/work/cake_multi_acl_13/app/views/layouts/default.ctp, line 45]
2010-04-11 20:42:14 Notice: Notice (8): Undefined property: UsersController::$Group in [/home/ronald/work/cake_multi_acl_13/app/controllers/users_controller.php, line 135]
2010-04-11 20:43:09 Notice: Notice (8): Undefined property: UsersController::$Group in [/home/ronald/work/cake_multi_acl_13/app/controllers/users_controller.php, line 135]
2010-04-11 20:43:36 Notice: Notice (8): Undefined variable: javascript in [/home/ronald/work/cake_multi_acl_13/app/views/users/acl.ctp, line 2]
2010-04-12 07:40:44 Notice: Notice (8): Undefined variable: javascript in [/home/ronald/work/cake_multi_acl_13/app/views/users/acl.ctp, line 2]
2010-04-12 07:41:14 Notice: Notice (8): Undefined property: UsersController::$Group in [/home/ronald/work/cake_multi_acl_13/app/controllers/users_controller.php, line 141]
2010-04-12 07:41:39 Notice: Notice (8): Undefined property: UsersController::$ControllerList in [/home/ronald/work/cake_multi_acl_13/app/controllers/users_controller.php, line 143]
2010-04-12 08:32:41 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 08:34:03 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 08:35:34 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 08:37:46 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 08:43:47 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 08:45:20 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 08:46:04 Notice: Notice (8): Undefined property: UsersController::$Group in [/home/ronald/work/cake_multi_acl_13/app/controllers/users_controller.php, line 186]
2010-04-12 08:46:28 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 08:50:50 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 08:51:42 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 08:52:17 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 08:53:03 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 13:38:33 Notice: Notice (8): Undefined property: UsersController::$Group in [/home/ronald/work/cake_multi_acl_13/app/controllers/users_controller.php, line 155]
2010-04-12 14:44:35 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 14:45:25 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 14:45:29 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 14:46:14 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 15:13:34 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
2010-04-12 15:20:33 Notice: Notice (8): Undefined variable: controllerPerms in [/home/ronald/work/cake_multi_acl_13/app/views/elements/display_action_list.ctp, line 4]
